date,item,price,class
2017-04-08,K GrlChz Sdw,4.29,food
2017-04-08,Greek Quinoa,8.99,food
2017-04-08,Gon Goddess Cobb Chx,9.49,food
Unknown,Cheeseburger,9.66,food
Unknown,Regular Fry,11.42,food
Unknown,Muf - Fruit Explosion,2.29,food
Unknown,Muf - Choc Chip,Unknown,food
Unknown,Dnt - Sour Crm Glazd,1.34,food
Unknown,Dnt - Choc Glazd,Unknown,food
Unknown,Dnt - OF Glazed,1.34,food
Unknown,Dnt - Boston Cream,Unknown,food
Unknown,SM Original Blend,1.99,food
Unknown,Tbit - Choc Glazd,0.33,food
Unknown,Tbit - Sour Crm Glazd,0.33,food
Unknown,Tbit - Honey Dip,0.33,food
2021-08-19,Bluetooth Care,122.34,home/appliances
2021-08-19,Dinning Table,422.99,home/appliances
2021-08-19,Wine Bottle,9.99,entertainment/alcohol
2021-08-19,Beer Case,19.9,entertainment/alcohol
2015-02-08,SS AGED CHDR XSHRP,10.49,food
2015-02-08,LUC SHRP CHDR,8.99,food
2015-02-08,AVOCADOS,4,food
2015-02-08,SFY FARMS MSHRM S+,1.89,food
2015-02-08,BASKET J4U DISCOUNT,3,home/appliances
Unknown,Organic Whole Milk,2.89,food
Unknown,Brown Flax Seed,1.89,food
Unknown,Organic Ketchup,1.59,food
Unknown,Quick Bread Mix,1.47,food
Unknown,Org Baby Spinach,1.89,food
Unknown,Wheat Tortillas,1.25,food
Unknown,Bananas LRW,0.93,food
Unknown,Coconut Water,3.29,food
Unknown,Organic Avocados,3.19,food
Unknown,Organic Pears,3.79,food
Unknown,Org Pink Lady,4.39,food
Unknown,Play-Doh Pack,4.99,entertainment/alcohol
Unknown,String Cheese,2.22,food
Unknown,Strawberries,2.25,food
Unknown,"16"" Pep Deli Pizza",3.79,food
2018-07-29,ONIONS RED JUMBO,Unknown,food
2018-07-29,LETTUCE ROMAINE,0.88,food
2018-07-29,MUSHROOMS,Unknown,food
2018-07-29,MUSHROOMS PORTABELLA,3.36,food
2018-07-29,LONG GRAIN WHITE RIC,Unknown,food
2018-07-29,ORGANIC GALA APPLES,2.07,food
2018-07-29,1 LB STRAWBERRY W,2.97,food
2018-07-29,REUSABLE BAG SAL,0.3,food
2018-07-29,DARK CHOCOLATE PECAN,3.04,food
2018-07-29,SILK COCONUT MILK UN,3.99,food
2018-07-29,BARBARA'S JALAPENO C,3.19,food
2018-07-29,EL PATO MEXICAN HOT,1.19,food
2018-07-29,EMBASA CHIPOTLE PEPE W,2.49,food
2018-07-29,SPROUTS HATCH CHILE,1.59,food
2018-07-29,SIRLOIN TIP STEAK,6.69,food
2018-07-29,BANANAS YELLOW,1,food
2010-04-23,CM PROMOTION,0,other
2010-04-23,CAPRI SUN,1.63,food
2010-04-23,NBC FUDGE CREME,6.57,food
2010-04-23,MAC N CHEESE,12.45,food
2010-04-23,Vendor Coupon,-1,other
2023-04-28,STRAW/KIWI LEM,3.49,food
2023-04-28,ICE WATER,0,food
2023-04-28,AU JACOB CR R SH,21.98,other
2023-04-28,COKE,3.49,food
2023-04-28,BRING BREAD,0,food
2023-04-28,6 FILET,25.99,food
2023-04-28,"ALICE, - loaded mash",21.49,food
2023-04-28,OB BURGER,12.99,food
2023-04-28,18 BONE RIBEYE,30.99,food
2023-04-28,CROCK FO,3,food
2023-04-28,NA BEV REFILL,0,food
2023-04-28,THUNDER,10.49,food
2023-04-28,TIM TAM CAKE,Unknown,food
2022-03-17,TC 30LB 24/7,7.98,food
2022-03-17,ONEBITESUPRM,5.86,food
2022-03-17,ONEBITESMEAT,5.86,food
2022-03-17,SSG VEG PIZZ,7.13,food
2022-03-17,NAT PEP,6.48,food
2022-03-17,CRN BF POINT,14.79,food
2022-03-17,SIMPLY LEMON,4.18,food
2022-03-17,CHEETOS,4.48,food
2022-03-17,AVOCADO BAG,4.63,food
2021-03-19,BA EDGE,18.98,home/appliances
2021-03-19,STRAWBERRY,3.98,food
2021-03-19,CREAMER,6.98,food
2021-03-19,GREEN GRAPEF,7.98,food
2021-03-19,HELLMANNS MF,6.98,food
2021-03-19,STEAK STRIPF,9.98,food
2021-03-19,MMBUFFALOCKF,6.98,food
2021-03-19,KINDPOWERPKF,16.11,food
2021-03-19,PKLD SAUSAGF,17.68,food
2021-03-19,BRG PEPERONF,5.76,food
2021-03-19,BRAD'S KALEF,4.98,food
2021-03-19,HELLMANNS M,2,food
Unknown,6PC HONEY BBQ-BEV,10.98,food
Unknown,BAC/CHZ DBL,6.59,food
Unknown,REG CHEESE CURDS,5.69,food
Unknown,MD SHAKE,5.29,food
Unknown,TORUNTO,Unknown,other
Unknown,DOPPIO ESPRESSO,2.1,food
Unknown,KF SNART CARB PITA,2.99,food
Unknown,SWISSCHARD GREEN,1.75,food
Unknown,PACIFIC FOODS BR,2.99,food
Unknown,CARLNA L/G RICE,1.79,food
Unknown,PARSLEY PLAIN,0.99,food
Unknown,MURRYS CHICK LEGS,2.61,food
Unknown,KEY CHICK PEAS,0.89,food
2019-06-22,D.CRML SPHERE F - G,,food
2019-06-22,SR 2ND GRANDE 5,-14.5,food
2020-05-09,Asiatic Lily,6,home/appliances
2020-05-09,BR:POISELiner26/22,4.29,home/appliances
2020-05-09,ChsGranaFlaked125g,3.49,food
2020-05-09,Butter Unsalt 250g,2.79,food
2020-05-09,Butter Unsalt 500g,4.99,food
2020-05-09,Capsicum Red /kg,4.04,food
2020-05-09,Eggplant /kg,5.61,food
2020-05-09,Zucchini 500g,3.49,food
2020-05-09,Cast Alu Pot 24cm,22.99,home/appliances
2020-05-09,*Cast Alum Roaster,19.99,home/appliances
2019-12-01,WHOLE GRAINS,2.99,food
2019-12-01,VEGETABLES,2.5,food
2019-12-01,JAR PEANUT BUTTER,3.29,food
2015-06-18,3PC ALC 0/R,3.79,other
2019-04-26,NCM - $3.49 Any 6inch,3.49,food
2012-09-08,CANDLE LIGHTER,3.99,home/appliances
2012-09-08,CANDLES,3.99,home/appliances
2012-09-08,ROSE BOUQUET,14.99,home/appliances
2012-09-08,10 HANDTIED ROSES,19.99,home/appliances
2012-09-08,TROJAN CONDOMS,2.83,home/appliances
2012-09-08,TROJAN MINI,13.89,home/appliances
2012-09-08,ASTROGLIDE,7.14,home/appliances
Unknown,2 APPLE PIES,2,food
Unknown,$10 TENDERS BOX,10,food
2015-11-22,Sh Clovr Paradeisi,5.4,home/appliances
2015-11-22,Cup Fund Donation,0.45,other
2021-09-19,20oz. Sport Cap,3.99,clothing
2021-09-19,12 pk Diet Cola,2.99,food
2021-09-19,Parmesan Cheese,2.99,food
2021-09-19,Light Sour Cream,0.99,food
2021-09-19,Yellow Onions,1.49,food
2021-09-19,Sweet Potatoes,2.49,food
2021-09-19,FreshGround Turkey,2.99,food
2021-09-19,Chicken Tenderloin,6.73,food
2021-09-19,Mixed Nuts14.75 oz,4.99,food
2021-09-19,Grape Tomatoes 1pt,1.89,food
2021-09-19,Red Grapes,5.54,food
2021-09-19,Baby Carrots,1.25,food
2021-09-19,Asian Salad Kit,2.49,food
2021-09-19,Sprd Cheese Wedges,1.29,food
2021-09-19,Garden Salad,0.89,food
2021-09-19,Garlic,0.85,food
2021-09-19,SweetandSaltyBars,1.39,food
2021-09-19,Turkey Meatballs,4.39,food
2021-09-19,Swt Chili/Sriracha,4.99,food
2021-09-19,Zucchini,1.69,food
2021-09-19,Seedlss Watermelon,2.99,food
2009-03-10,ALB GARBANZO BEANS,1.04,food
2009-03-10,MC MASALA BLEND,4.89,food
2009-03-10,PEP ANAHEIM,0.57,food
2021-10-27,MOUTHWASH,5.58,home/appliances
2021-10-27,BINDER,2.17,home/appliances
Unknown,Store Coupon,25.46,other
2020-07-22,RED FLAG,0,other
2020-07-22,Bun,0.25,food
2020-07-22,CFA Sauce,0,food
2020-07-22,Frst Lmnde SM,3.69,food
2020-07-22,CFA CARD,0,other
2020-07-22,Mngo Pass Tea Lem LG,2.49,food
2020-02-15,Spicy Chk Sand Combo,8.29,food
2020-02-15,CLASSIC CHK SAND,3.99,food
2020-02-15,SPICY CHK SAND,3.99,food
2020-02-15,4 BtrMilk Bsc Shrmp,2.49,food
2020-02-15,A La Carte,Unknown,food
2020-02-15,4 BUTTERMILK BISC SHRIMP,Unknown,food
2018-11-27,CEC Bagel,1.99,food
2018-11-27,Dt Coke LG,2.35,food
2018-11-27,Lmnde LG,Unknown,food
Unknown,"12"" Veggie Delite Sub",7.59,food
2016-12-14,Economy,63.05,transportation
2016-12-14,SWEDEN - Zone 7,Unknown,transportation
Unknown,Chicken Bowl,9.1,food
Unknown,Chips,1.85,food
Unknown,Lorem ipsum,Unknown,other
Unknown,Consectetur,9.85,other
Unknown,Class aptent taciti,Unknown,other
Unknown,Sed lacinia,0.64,other
Unknown,Phasellus eu enim,9.99,other
Unknown,Quisque,1.49,other
Unknown,Phasellus magna,37,other
Unknown,Phasellus,Unknown,other
Unknown,Cras blandit,19,other
Unknown,Morbi cursus mattis,9.85,other
2018-09-10,T-Shirt,Unknown,clothing
2018-09-10,Pants,Unknown,clothing
2018-09-10,Adobe,Unknown,other
2012-05-19,23/32 BC PINE ULX EXTERIO,31.97,clothing
2012-05-19,"15/32""X4X8 3 PLY SHTG 32/",52.41,clothing
2012-05-19,"3/8""X4'X8' RATED SHEATHIN",14.17,clothing
Unknown,TILITY BIN,7.99,home/appliances
Unknown,A MED COLANDE,2.99,other
Unknown,A TUMS EX 96C,4.59,home/appliances
Unknown,A DULCOLAX,5.89,home/appliances
Unknown,A TRSH CAN W,12.58,home/appliances
Unknown,EGAR,8.79,other
2020-09-20,WATER,0,food
2020-09-20,WAT-,Unknown,food
Unknown,1st Dose,Unknown,home/appliances
Unknown,COVID-19,Unknown,home/appliances
Unknown,Other,Unknown,other
2023-01-07,Vt Icd Americano,3.95,food
2023-01-07,Vt Carml Frapp,5.95,food
2020-11-25,14pc Wicked Shrimp CB,6,food
2020-11-25,TENDER SPICY,4.47,food
2019-11-20,Tacos Del Mal Shrimp,14.98,food
2019-11-20,Especial Salad Chicken,12.5,food
2019-11-20,Fountain Beverage,1.99,food
Unknown,MAHATMA JASM,5.48,food
Unknown,SWEETARTS,1.48,food
Unknown,BNLS BRST MD,9.52,food
Unknown,NY STRIP THN,15.95,food
Unknown,ONIONS,0.97,food
Unknown,POTATOES,1.58,food
Unknown,BROC CROWNS,1.91,food
Unknown,GREEN ONIONS,0.78,food
Unknown,SRIRACHA SCE,3.48,food
Unknown,HOISIN SAUCE,3.67,food
Unknown,GR PEPERCRN,1.86,food
Unknown,WM SEA SALT,1.86,food
Unknown,OYSTER SAUCE,2.57,food
Unknown,ACOCADO OIL,10.98,food
Unknown,SESAME OIL,2.98,food
Unknown,SUSHI CHEF,2.98,food
Unknown,SESAME SEED,2.96,food
Unknown,EQ DUO PACK,4.97,food
Unknown,SOY SAUCE,2.48,food
Unknown,EGG BEST ORG,4.67,food
2018-12-20,Bean Burrito,2.78,food
2018-12-20,Cinnabon 2 Pack,Unknown,food
2018-12-20,Lrg Drink,1.005,food
2018-12-20,Nachos,1.59,food
2013-05-18,VS Fantasies,Unknown,clothing
2013-05-18,VSF_8.4ZBL_SNSLB,8,other
2013-05-18,GN_8.4ZMST_MNGTM,6,other
2013-05-18,BRC_VLLPGLSS_CP,4,home/appliances
Unknown,SOY SAUCE 2L,11.49,food
Unknown,TPD KIKK SOY SAUCE,2,food
Unknown,PORK SPARE RIBS,30.12,food
Unknown,TPD SPARE RIB,6,food
Unknown,QUKES,9.99,food
Unknown,DRAGON FRUIT 8 PK,34.99,food
Unknown,HLTH ATTK CRPY FRT,12.99,food
Unknown,POPCORNERS 24PK,20.99,food
Unknown,GLICO POCKY DUO,12.99,food
Unknown,DAWN DISH LIQ2.66L,15.99,home/appliances
Unknown,TPD-DAWN PLAT 2.66,3,home/appliances
Unknown,KS ORGANIC SEAWEED,14.99,food
Unknown,KARA-AGE CHICKEN,28.99,food
Unknown,CAULI BLOSSOM,6.99,food
Unknown,PURPLE BROCCOLINI,7.99,food
Unknown,DJ&A S/BERRY 100G,10.99,food
2019-04-27,DNZN CARGO S,24.99,clothing
2019-04-27,DUNKINDONUTS,18.98,food
2019-04-27,MP 2 PC MILK,4.78,food
2023-02-01,>Chick-fil-a Chicken Sandwic,8.09,food
