date,item,price,class
2023-10-27,UAWFLOWDYN/NOCOL/7/NODIM,7.995,other
Unknown,ITEM 1,1,other
Unknown,ITEM,1,other
Unknown,3,1,other
Unknown,ITEM 5,1,other
Unknown,ITEM 9,1,other
Unknown,ITEM 10,1,other
Unknown,BADIA CINNAMN PWDR,Unknown,food
Unknown,EXXON / MOBIL $50,2.19,transportation
Unknown,$10 OFF GAS CARD,Unknown,transportation
Unknown,CPN,-15,other
Unknown,HOMMER & EN CUTHEE SENTIE,24.99,other
Unknown,STIMMTE,Unknown,other
Unknown,SP MODERN :W CLASSIC SHORT,66,clothing
Unknown,MAFIA IN THE MORNING,,entertainment/alcohol
Unknown,SORRY NOT SORRY,,entertainment/alcohol
Unknown,KIDDING ME,,entertainment/alcohol
Unknown,WILD WILD WEST,,entertainment/alcohol
Unknown,SHOOT!,,entertainment/alcohol
Unknown,TENNIS (0:0),,entertainment/alcohol
Unknown,Suit Jacket,400,clothing
Unknown,Suit Pants,199.5,clothing
Unknown,Belt,45,clothing
Unknown,Shorts,59.5,clothing
2010-05-03,KRAFT PHILADELPHIA,4.9,food
2010-05-03,MC SCANNED COUPON,0.55,other
2023-11-11,CANADA GOOSE MONTEBELLO PARKA HERITAGE,1550,clothing
Unknown,SUPER SOFT GRAPHIC T-SHI,7.98,clothing
2020-10-09,GOGO SQUEEZ,7.49,entertainment/alcohol
2020-10-09,NESTLE,5,food
2020-10-09,CAMPBELLS,2.49,food
2020-10-09,GG RTE RICE,1.59,food
2020-10-09,QUAKER CHEWY,1.74,food
2020-10-09,GG,1.79,other
2020-10-09,OLD EL PASO,2.99,food
2020-10-09,GG OIL,5.99,transportation
2020-10-09,GG CONDIMENT,3.78,food
2020-10-09,SPARKLNG ICE,0.95,food
2020-10-09,Bottle Deposit Fee,0.05,other
2020-10-09,SO DELICIOUS,1.52,food
2020-10-09,Target,Unknown,other
2020-10-09,PROGRESSO,1.59,food
Unknown,Nike,899,clothing
2022-03-07,2.5QTPERENNL <A>,5.98,home/appliances
2022-03-07,K RAISED BD <A>,8.97,home/appliances
2022-03-07,1CF BLK KOW <A>,11.94,other
Unknown,Lorem ipsum,Unknown,other
Unknown,Class aptent taciti,Unknown,other
Unknown,Sed lacinia,0.64,other
Unknown,Phasellus eu enim,9.99,other
Unknown,Quisque,1.49,other
Unknown,Phasellus magna,37,other
Unknown,Phasellus,Unknown,other
Unknown,Cras blandit,19,other
Unknown,Morbi cursus mattis,9.85,other
2019-06-05,807703629,400,other
2016-04-20,CANADA GOOSE,Unknown,clothing
2016-04-20,OVO TIMBER SHELL,675,clothing
2016-04-20,BLACK,Unknown,other
Unknown,AIR ZOOM PEGASUS 38 pr,170,clothing
2018-09-10,Socks,4,clothing
Unknown,GUCCI CN,340,clothing
2017-10-20,SWEATERS,19.97,clothing
2017-07-25,CHSYBACBREAD,2.31,food
2017-07-25,CHSY BREADST,2.11,food
2017-07-25,POTATO WEDGE,3.34,food
2017-07-25,COOKIES,2.98,food
2017-07-25,BBQ CHUNKS,6.76,food
2017-07-25,COLE SLAW,2.17,food
2017-07-25,DONUT HOLES,2.98,food
2017-07-25,RUCK SACK,3.72,home/appliances
2017-07-25,SINGLE ROLL,1.98,food
2017-07-25,NOTEBOOK,1.97,home/appliances
2025-01-17,Cushioned Low-Cut Socks 3 P ...,8.95,clothing
2025-01-17,DELIVERY,3.99,transportation
2020-02-05,Pendus,380,other
2020-02-05,Aurous,130,other
2020-02-05,Tombus,210,other
2020-02-05,Libero,8755,other
2020-02-05,Tempore,5412,other
2020-02-05,Cumsoluta,Unknown,other
2020-02-05,Nobis,6312,other
2020-02-05,Esteligen,107,other
2020-02-05,Diptio,612,other
2020-02-05,Cumque,7885,other
2020-02-05,Nihil,758,other
2018-07-11,SANDALIA,Unknown,clothing
2018-07-11,BAMBAS,14900,food
Unknown,STANDARD,Unknown,other
,2000,1799,other
,ENCENS,399,home/appliances
,F 2000,399,other
Unknown,Line_ Discount,899,other
Unknown,RL,34.99,clothing
Unknown,HOILDAY POOPER ASS,1.99,entertainment/alcohol
Unknown,YEEZY BOOST 350 V2 WHITE/CBLACK/REDBLACK/NOIESS/ROUGE,Unknown,clothing
Unknown,Packaged T-shirt,5.9,clothing
Unknown,GOYA LENTILS,2.19,food
Unknown,GOYA BLACK BEANS,1.58,food
Unknown,8PK/7.50Z CN COKE,3.34,food
Unknown,4PK CN CITZ DRTY CID,13.99,other
Unknown,BOTTLE DEPOSIT,0.4,other
Unknown,ORG GRAPE TOMATOES,2.99,food
2017-06-24,06/24 ADI YEEZY BOOST 350 V2,220,clothing
,The belt,4980,clothing
Unknown,HANDBAGS,Unknown,clothing
2017-05-28,PNTNE PRO-V DMR CD,4.49,home/appliances
2017-05-28,PNTNE D MST RN SH,4.49,home/appliances
2017-05-28,CPH AD EX STGTH TP,5.99,home/appliances
2017-05-28,JTB PTWL 128/SNG,1.77,home/appliances
2017-05-28,MFR COUPON,5,other
2017-05-28,CVS MFR COUPON,10,other
2017-05-28,$2 OFF PAPER TOWEL,1.77,home/appliances
2014-10-10,SILVER EARS,4.97,clothing
2014-10-10,HSY SNACK SZ,2.5,food
2014-10-10,MOUTHWASH,5.97,home/appliances
2014-10-10,GLDFSH BULK,7.48,food
2014-10-10,COV LSHBLST,6.94,home/appliances
2014-10-10,PAPER TOWEL,5.47,home/appliances
2016-11-23,BY9612/RED,220,clothing
Unknown,TYRLS VINGR SEA,2.75,food
Unknown,ČP CARRIER BAG,0.05,clothing
Unknown,Cow,,food
Unknown,12 1 /2 calf,408,food
Unknown,Wide,330,clothing
,MARIMEKKO T-SHIRT,1490,clothing
,MARIMEKKO LINEN MIX SHIRT DRESS,4990,clothing
2022-01-09,Shoes,150,clothing
Unknown,WOMEN XL . 57 OLIVE . 182591,Unknown,clothing
2022-02-25,160 SOFT ACCESS 10/L 4268874HB10 - 1060 - L,-415,clothing
2022-02-25,Eyewear 691295J0740 - 1012 - U,450,clothing
2006-04-07,START FLUID,1.42,transportation
2006-04-07,POLISH RMVR,1.67,home/appliances
2006-04-07,NAIL DRY,1.97,home/appliances
2006-04-07,SPRAY BOTTLE,0.5,home/appliances
2006-04-07,1PK LTR,0.97,home/appliances
2006-04-07,91 ALCOHOL,1.94,entertainment/alcohol
2017-01-02,LUGGAGE 449171KY9KN - 9886 - NOSIZ,Unknown,other
Unknown,CUPS,699,home/appliances
2019-11-02,Front and rear brake cables,100,transportation
2019-11-02,New set of pedal arms,30,transportation
2019-11-02,Labor 3hrs,15,other
2022-06-11,Maultaschen Beilage,1190,food
2022-06-11,Schnitzel Beilage,1450,food
2022-06-11,Pommes Frites Bio-Qu,450,food
Unknown,5,1,other
2012-02-11,100 HANDBAGS 96/ /SUK,895,clothing
,BORSE 499621KO5NG - 8745 - NOSIZ,98000,clothing
2010-06-26,KRAFT DRESSING,1.49,food
2010-06-26,KRAFT HSE ITALIAN,1.49,food
2015-10-18,W15JKT Expedition,799,clothing
2012-08-11,MENS SMLG,Unknown,clothing
2012-08-11,UNISEX SMLG,Unknown,clothing
2013-07-02,S 2100,5995,other
Unknown,UP TOWEL,9.99,home/appliances
2019-04-25,SPRAY PNT <A>,5.98,home/appliances
2019-12-14,Nimbus Super Trainers,199.99,clothing
2019-12-14,Nimbus Urban Assult,129.99,clothing
Unknown,530 SUNGLASSES 24/ /GG 434093J0740 - 2470 -,79,clothing
Unknown,120 WOMENS SMLG 9967/ /C 452362K6D1G - 9967,249,clothing
Unknown,120 WOMENS SMLG 1000/ /0 510314CAOOG - 1000,499,clothing
Unknown,150 WOMENS BELT 86/90B 4500000005 8659 -,199,clothing
Unknown,200 WONENS SHOE 896 404015KO. 20 8960,Unknown,clothing
Unknown,Cow.,,food
Unknown,STEEL RANGES AND KITCHE Que L'/,,home/appliances
2018-03-10,CG JKT HYBRIDGE,500,clothing
Unknown,BANANA EACH,1.61,food
Unknown,BAREBELLS CHOCOLATE DOUG,2.29,food
Unknown,BAREBELLS CREAMY CRISP,2.29,food
Unknown,BAREBELLS CARAMEL CASHEW,4.58,food
Unknown,T SPINDRIFT ORANGE MANGO 8,7.49,food
Unknown,T Bottle Deposit,0.4,other
Unknown,MILK ORGANIC GALLON WHOL,6.79,food
Unknown,CLASSIC GREEK SALAD,3.49,food
Unknown,COBB SALAD,5.99,food
Unknown,PEPPER BELL RED XL EACH,1.29,food
Unknown,BAG FEE.,0.25,other
2027-12-27,GU. G#03851,236,other
2018-09-28,WIND-JACKET,49.99,clothing
Unknown,AEO CREW SOCKS,4.99,clothing
2018-07-04,SACS 498100DTDPT - 8975 - NOSIZ,1490,clothing
2018-07-04,SACS 498100DTDPT - 8975 - NØSIZ,1490,clothing
Unknown,LIGHTING STRIP PLU IT,Unknown,home/appliances
Unknown,MESH HOODED SWTSRT M,Unknown,clothing
Unknown,SPF3D 55ML SNSCRN,89.99,home/appliances
2013-12-21,MIND BOGGLERS METAL PUZZLES,2.32,entertainment/alcohol
2023-12-04,P-PIQUE SLIM TIPPING -INTL:613-BURGUNDY:X-LARGE,140,clothing
2023-12-04,P-SS PIQUE NOVELTY TIPPING POLO - INTL:410-NAVY:,0,clothing
